Date,Open,High,Low,Close,Volume
24-Feb-17,827.73,829.00,824.20,828.64,1392202
23-Feb-17,830.12,832.46,822.88,831.33,1472771
22-Feb-17,828.66,833.25,828.64,830.76,987248
21-Feb-17,828.66,833.45,828.35,831.66,1262337
17-Feb-17,823.02,828.07,821.66,828.07,1611039
16-Feb-17,819.93,824.40,818.98,824.16,1287626
15-Feb-17,819.36,823.00,818.47,818.98,1313617
14-Feb-17,819.00,823.00,816.00,820.45,1054732
13-Feb-17,816.00,820.96,815.49,819.24,1213324
10-Feb-17,811.70,815.25,809.78,813.67,1134976
9-Feb-17,809.51,810.66,804.54,809.56,990391
8-Feb-17,807.00,811.84,803.19,808.38,1155990
7-Feb-17,803.99,810.50,801.78,806.97,1241221
6-Feb-17,799.70,801.67,795.25,801.34,1184483
3-Feb-17,802.99,806.00,800.37,801.49,1463448
2-Feb-17,793.80,802.70,792.00,798.53,1532138
1-Feb-17,799.68,801.19,791.19,795.70,2029744
