Date,Open,High,Low,Close,Volume
15-May-17,932.95,938.25,929.34,937.08,1108496
12-May-17,931.53,933.44,927.85,932.22,1050601
11-May-17,925.32,932.53,923.03,930.60,835386
10-May-17,931.98,932.00,925.16,928.78,1173925
9-May-17,936.95,937.50,929.53,932.17,1581809
8-May-17,926.12,936.92,925.26,934.30,1329825
5-May-17,933.54,934.90,925.20,927.13,1911275
4-May-17,926.07,935.93,924.59,931.66,1422144
3-May-17,914.86,928.10,912.54,927.04,1499532
2-May-17,909.62,920.77,909.45,916.44,1587219
1-May-17,901.94,915.68,901.45,912.57,2115993
